date,ticker,open,high,low,close,volume
12/25/2021,FPT,30.89,30.89,30.59,30.66,84960
12/26/2021,FPT,31.04,31.22,30.89,30.89,333590
12/27/2021,FPT,31.41,31.52,31.19,31.19,454860
12/28/2021,FPT,31.34,31.49,31.19,31.49,387170
1/2/2022,FPT,31.19,31.45,30.7,30.74,459120
1/3/2022,FPT,30.93,30.93,30.37,30.44,716600
1/4/2022,FPT,30.29,30.93,30.22,30.66,318570
1/7/2022,FPT,31.19,31.41,31.04,31.19,408470
1/8/2022,FPT,31.19,31.34,31.11,31.34,295660
1/9/2022,FPT,31.41,31.78,31.26,31.63,309040
1/10/2022,FPT,31.63,31.75,31.45,31.45,207330
1/11/2022,FPT,31.63,31.75,31.37,31.49,596090
1/14/2022,FPT,31.56,31.78,31.34,31.71,398400
1/15/2022,FPT,31.56,31.93,31.56,31.93,339480
1/16/2022,FPT,32.08,32.08,31.75,31.75,186590
1/17/2022,FPT,31.71,31.9,31.34,31.34,379770
1/18/2022,FPT,31.41,31.71,31.34,31.34,227150
1/21/2022,FPT,31.49,31.93,31.49,31.71,247800
1/22/2022,FPT,31.71,31.9,31.6,31.6,141480
1/23/2022,FPT,31.56,31.63,31.45,31.6,193460
1/24/2022,FPT,31.63,31.78,31.6,31.67,234470
1/25/2022,FPT,31.63,31.78,31.56,31.63,213470
1/28/2022,FPT,31.71,31.71,31.41,31.41,216330
1/29/2022,FPT,31.63,31.71,31.34,31.71,430580
1/30/2022,FPT,31.71,32.38,31.63,32.23,689260
1/31/2022,FPT,32.31,32.38,32.01,32.23,517260
2/1/2022,FPT,32.23,32.23,30.96,31.78,599890
2/11/2022,FPT,32.08,33.05,31.86,32.94,1000430
2/12/2022,FPT,32.83,33.28,32.75,32.75,701570
2/13/2022,FPT,32.83,33.57,32.83,33.24,1125370
2/14/2022,FPT,33.31,33.5,33.01,33.01,616980
2/15/2022,FPT,33.01,33.16,32.83,32.98,647230
2/18/2022,FPT,33.2,33.28,32.9,33.13,306310
2/19/2022,FPT,33.35,33.69,33.05,33.13,1470880
2/20/2022,FPT,33.05,33.61,33.05,33.46,499430
2/21/2022,FPT,33.28,33.5,33.05,33.42,749950
2/22/2022,FPT,33.42,33.87,33.13,33.72,1243720
2/25/2022,FPT,34.02,34.47,33.91,33.95,1023660
2/26/2022,FPT,33.98,34.02,33.57,33.72,663220
2/27/2022,FPT,33.72,33.91,33.5,33.65,485650
2/28/2022,FPT,33.65,33.65,32.98,32.98,1372190
3/1/2022,FPT,33.24,33.28,32.94,33.28,590780
3/4/2022,FPT,33.28,33.72,33.28,33.57,806770
3/5/2022,FPT,33.57,33.72,33.42,33.5,824300
3/6/2022,FPT,33.54,33.65,33.16,33.28,695230
3/7/2022,FPT,33.28,33.57,33.28,33.39,374340
3/8/2022,FPT,33.35,33.42,33.16,33.31,693180
3/11/2022,FPT,33.31,33.46,33.16,33.2,364520
3/12/2022,FPT,33.39,34.69,33.39,34.69,1930870
3/13/2022,FPT,34.62,34.84,34.47,34.47,1001890
3/14/2022,FPT,34.47,34.69,34.32,34.51,533480
3/15/2022,FPT,34.54,34.54,34.13,34.32,1041840
3/18/2022,FPT,34.54,34.66,34.28,34.47,994080
3/19/2022,FPT,34.47,34.54,34.1,34.1,914720
3/20/2022,FPT,34.02,34.25,33.76,33.91,797270
3/21/2022,FPT,34.17,34.17,33.65,33.65,825740
3/22/2022,FPT,33.65,33.87,33.61,33.61,687690
3/25/2022,FPT,32.98,33.57,32.98,33.13,633520
3/26/2022,FPT,33.57,33.57,33.2,33.39,386120
