ticker,date,open,high,low,close,volume
MSN,12/25/2017,73.1,75.4,73,74.2,207370
MSN,12/26/2017,74.9,75.5,74.3,75.5,403710
MSN,12/27/2017,74.9,75.7,74.8,75,517920
MSN,12/28/2017,75,76,74.5,75.7,377030
MSN,12/29/2017,76,77,76,76.7,226880
MSN,1/2/2018,77,80,76.7,80,533950
MSN,1/3/2018,80,84.3,80,82.5,699510
MSN,1/4/2018,81.9,83.4,81.5,82.5,750150
MSN,1/5/2018,82.5,85,81.8,84.7,552640
MSN,1/8/2018,84.9,88.8,83.6,88.8,567080
MSN,1/9/2018,88.8,90.6,88.3,90,517480
MSN,1/10/2018,90,90,86.8,87,691140
MSN,1/11/2018,85.7,90,85.7,90,628710
MSN,1/12/2018,93.5,93.5,90.5,93,350910
MSN,1/15/2018,93.3,93.7,90.1,92.8,880860
MSN,1/16/2018,91.5,92.8,90.4,92.4,659830
MSN,1/17/2018,92.5,92.6,90.2,90.2,334150
MSN,1/18/2018,90,92,87.5,92,484780
MSN,1/19/2018,92,92.2,87.5,87.5,1281430
MSN,1/22/2018,89,93.5,89,92.5,579000
MSN,1/25/2018,93,97.5,93,97.2,1034850
MSN,1/26/2018,97.3,98.2,95.1,97.5,629310
MSN,1/29/2018,97.5,98,94.2,94.5,363310
MSN,1/30/2018,94.5,94.8,90,90.8,650630
MSN,1/31/2018,90.8,95,90.6,92.1,1082770
MSN,2/1/2018,94,94,90.5,92.1,724810
MSN,2/2/2018,92,92.5,86.7,91,669230
MSN,2/5/2018,85.5,87,84.7,84.7,661070
MSN,2/6/2018,78.8,86,78.8,86,1870880
MSN,2/7/2018,86,86.5,83,83,566450
MSN,2/8/2018,83.9,86.4,82.5,85,473040
MSN,2/9/2018,81,83,79.5,82.2,948340
MSN,2/12/2018,83.4,85,83.3,85,421960
MSN,2/13/2018,85,87,85,85.6,486070
MSN,2/21/2018,85.6,90,85.6,89.5,326210
MSN,2/22/2018,88,90,88,88,402290
MSN,2/23/2018,89,90.7,88.1,89.8,653110
MSN,2/26/2018,91,93,89.9,89.9,592570
MSN,2/27/2018,91.5,92,90.4,91.4,567630
MSN,2/28/2018,91,92.5,89.2,89.2,1152830
MSN,3/1/2018,90,91.5,89.3,91,686470
MSN,3/2/2018,91,93.2,89.5,91.5,265490
MSN,3/5/2018,93,93,91,91,704600
MSN,3/6/2018,91,91.6,90.5,90.5,846740
MSN,3/7/2018,90.6,91.7,90.4,91.4,1140920
MSN,3/8/2018,91.4,95,91.2,94,829830
MSN,3/9/2018,95,96,94,94.1,383590
MSN,3/12/2018,95,95.7,94.2,95.2,191140
MSN,3/13/2018,95.2,95.2,93.5,95,263070
MSN,3/14/2018,94.2,95.4,94,94,315590
MSN,3/15/2018,95,95,93,93,456960
MSN,3/16/2018,94.2,94.2,92,92,3685230
MSN,3/19/2018,92,94.3,92,94.3,368790
MSN,3/20/2018,94.7,100.5,94.3,100.5,981900
MSN,3/21/2018,100.5,103.4,99.6,102.4,901320
MSN,3/22/2018,102.5,104.5,102.5,103.6,772700
MSN,3/23/2018,99.5,103,99.5,102,946780
MSN,3/26/2018,102,109.1,101,109.1,1326670
MSN,3/27/2018,111,114,109,109,969010
MSN,3/28/2018,109,110.4,107,110.4,450680
