date,ticker,open,high,low,close,volume
2/28/2018,PNJ,78.14,80.61,78.09,78.71,8158
3/1/2018,PNJ,78.14,80.32,77.66,77.66,20511
3/2/2018,PNJ,77.14,77.9,76.86,77.33,37274
3/5/2018,PNJ,77.14,80.5,77.14,78.28,27737
3/6/2018,PNJ,78.61,83.13,77.43,81.45,41077
3/7/2018,PNJ,81.78,84.68,79.32,80.74,30644
3/8/2018,PNJ,83.18,84.1,80.74,82.35,23020
3/9/2018,PNJ,82.87,85.69,82.16,82.35,24416
3/12/2018,PNJ,82.87,84.19,81.45,81.78,16145
3/13/2018,PNJ,81.64,83.22,80.46,81.12,18272
3/14/2018,PNJ,83.66,84.43,81.5,81.64,17645
3/15/2018,PNJ,81.69,83.95,81.26,81.45,12195
3/16/2018,PNJ,81.69,86.61,81.59,85.24,54755
3/19/2018,PNJ,86.19,88.93,85.24,86.38,32232
3/20/2018,PNJ,85.29,89.03,85,86.19,21658
3/21/2018,PNJ,86.19,89.95,85.71,86.66,19796
3/22/2018,PNJ,87.13,89.52,86.19,87.13,17128
3/23/2018,PNJ,87.58,88.21,85.24,85.71,30696
3/26/2018,PNJ,85.24,89.52,85.24,87.75,20407
3/27/2018,PNJ,88.56,92.85,88.56,91.21,26569
3/28/2018,PNJ,89.5,94.84,89.5,93.29,34234
3/29/2018,PNJ,93.29,96.34,92.39,93.76,22066
3/30/2018,PNJ,93.76,100.16,93.29,97.55,41834
4/2/2018,PNJ,98.5,99.19,95.19,98.9,31024
4/3/2018,PNJ,95.94,98.71,95.37,95.9,23472
4/4/2018,PNJ,96.13,97.74,93.15,95.37,59677
4/5/2018,PNJ,95.19,98.71,94.81,94.95,11045
4/6/2018,PNJ,94.24,96.77,91.87,91.87,65589
4/9/2018,PNJ,90.92,93.39,87.37,87.61,75851
4/10/2018,PNJ,87.18,93.39,85.71,91.4,39200
4/11/2018,PNJ,91.4,94.84,88.56,88.56,26487
4/12/2018,PNJ,88.32,91.21,87.13,88.22,16673
4/13/2018,PNJ,89.5,92.08,87.99,88.08,20937
4/16/2018,PNJ,88.08,89.5,87.42,87.47,17636
4/17/2018,PNJ,87.18,90.34,85.48,85.95,24510
4/18/2018,PNJ,86.19,88.79,81.93,84.68,58482
4/19/2018,PNJ,83.22,83.71,77.19,78.14,77863
4/20/2018,PNJ,78.14,83.22,78.14,81.64,25990
4/23/2018,PNJ,83.11,84.29,81.45,82.4,34831
4/24/2018,PNJ,80.98,83.47,79.56,82.4,21745
4/26/2018,PNJ,80.98,82.84,79.08,80.81,33590
4/27/2018,PNJ,78.37,84.19,77.66,80.98,27431
5/2/2018,PNJ,81.93,84.68,80.03,80.98,26401
5/3/2018,PNJ,80.5,82.74,78.99,82.26,21786
5/4/2018,PNJ,80.5,83.22,80.5,80.98,22749
5/7/2018,PNJ,82.4,88.5,81.93,86.61,48024
5/8/2018,PNJ,86.71,90.97,86.71,86.71,37050
5/9/2018,PNJ,86.71,89.03,85.48,86.42,19148
5/10/2018,PNJ,86.38,88.98,83.82,83.82,37142
5/11/2018,PNJ,83.58,88.06,82.54,86.66,492930
5/14/2018,PNJ,87.7,90.49,86.52,88.18,228360
5/15/2018,PNJ,89.86,90.39,87.28,87.7,230960
5/16/2018,PNJ,86.8,89.37,85.71,86.28,323540
5/17/2018,PNJ,86.76,88.64,85.1,85.81,131160
5/18/2018,PNJ,86.05,87.92,83.34,85.81,319040
5/21/2018,PNJ,86.95,88.84,85.33,85.33,146940
5/22/2018,PNJ,85.33,86.85,82.49,83.86,391620
5/23/2018,PNJ,83.86,85.74,82.54,84.86,170120
5/24/2018,PNJ,86.71,86.76,83.44,84.86,102670
5/25/2018,PNJ,86.22,86.22,82.49,82.49,137470
5/28/2018,PNJ,83.32,83.32,76.75,78.42,697030
5/29/2018,PNJ,76.75,80.85,72.53,78.22,634890
5/30/2018,PNJ,78.22,79.93,76.33,76.8,138810
5/31/2018,PNJ,76.8,80.89,75.62,80.89,302580
6/1/2018,PNJ,78.22,83.32,78.22,80.93,259980
