date,ticker,open,high,low,close,volume
10/17/2021,VIC,98.5,99.6,98.3,99,1266610
10/18/2021,VIC,98.5,99.2,98,99.1,896140
10/19/2021,VIC,96.5,99.1,96.5,99.1,915870
10/22/2021,VIC,98.1,99.6,97.1,99.1,536930
10/23/2021,VIC,98.1,99,96.5,99,608750
10/24/2021,VIC,98,99.5,97.5,98.8,681290
10/25/2021,VIC,96.7,98.2,94.6,96.8,404050
10/26/2021,VIC,96.2,98,95.7,96.4,653110
10/29/2021,VIC,95.5,97.7,95,97.2,643700
10/30/2021,VIC,95.5,97.3,95.5,96.6,452080
10/31/2021,VIC,95.6,97.2,95.6,97.2,582470
11/1/2021,VIC,96.5,96.8,95,95.5,1225020
11/2/2021,VIC,95.6,96.7,95.5,96,1484060
11/5/2021,VIC,96,96.5,95.1,96,664130
11/6/2021,VIC,96.5,96.5,95.4,95.8,597170
11/7/2021,VIC,96.3,96.3,94.3,96,608180
11/8/2021,VIC,96,96.6,95.8,96,383030
11/9/2021,VIC,95,96,95,95.9,602570
11/12/2021,VIC,95.8,96,95.5,95.9,720990
11/13/2021,VIC,94.8,95,93.3,93.3,598800
11/14/2021,VIC,93.6,95.1,93.4,94.7,450950
11/15/2021,VIC,94.7,94.7,90.9,91.7,689540
11/16/2021,VIC,91.7,92.5,89.8,90.1,895700
11/19/2021,VIC,90.1,96.4,90.1,96.4,1553130
11/20/2021,VIC,94.7,97.2,94.7,97.2,1470120
11/21/2021,VIC,97,97.3,95,97.3,1609020
11/22/2021,VIC,97.2,98,96.5,98,1345610
11/23/2021,VIC,98.2,99,97,99,1055870
11/26/2021,VIC,99,100.5,98,100.5,642520
11/27/2021,VIC,100.5,103.2,100.5,101.5,467400
11/28/2021,VIC,101.5,102,100.8,102,577600
11/29/2021,VIC,102.5,103,101.7,102,367130
11/30/2021,VIC,101,102,97.5,101.7,1024240
12/3/2021,VIC,101.8,103,101.3,101.9,262710
12/4/2021,VIC,102.4,102.4,101.6,102,966490
12/5/2021,VIC,101.9,102.2,101,102.1,461240
12/6/2021,VIC,102.1,102.2,101.1,102.1,251610
12/7/2021,VIC,102.1,102.2,101.5,102.2,460960
12/10/2021,VIC,102,102.2,101.1,102.1,806730
12/11/2021,VIC,102.1,102.2,101.4,102.2,457470
12/12/2021,VIC,102.2,102.4,102,102.2,403320
12/13/2021,VIC,102.3,103.9,101.8,102.8,488820
12/14/2021,VIC,102.2,103,101.6,102.7,234660
12/17/2021,VIC,102,102.7,101.9,102.5,205950
12/18/2021,VIC,101.8,102,100,102,531470
12/19/2021,VIC,102,102.3,100.5,102,506600
